date,T1,T3,T6,T5,T8,T10
2000-02-29,1.7638400950979274e-06,1.2751828033437601e-21,2.532394412742953e-19,1.912123081832167e-21,1.1151541502333376e-08,5.6106866258639016e-21
2000-03-31,5.123291811834222e-09,1.186419234483776e-21,1.5551113772871833e-20,3.564847135158986e-19,1.1871961147955472e-12,8.943478570250722e-22
2000-04-30,,,,,,
2000-05-31,4.5258694038611507e-07,6.774960398624636e-25,5.850327144310857e-21,6.14280614134202e-22,4.14476350228485e-10,9.688357630361603e-22
2000-06-30,2.9176675278016504e-07,1.5860593379204027e-22,2.049789372086302e-21,4.9746648667418665e-24,3.08510218757904e-09,2.702782846272373e-20
2000-07-31,,,,,,
2000-08-31,6.989430737839015e-08,3.976616879575386e-24,2.33431217353164e-22,8.049083214743803e-26,4.494695992910601e-10,3.965792798503224e-22
2000-09-30,,,,,,
2000-10-31,5.496307227303207e-07,1.757400668291452e-24,9.978776754859998e-24,3.12883686115825e-26,1.8374893450240642e-09,2.0889410593827626e-22
2000-11-30,8.501911319463797e-07,1.1536216392511642e-21,1.0242254344693172e-20,5.304210206699564e-23,5.768546540193004e-10,5.092511125388943e-21
2000-12-31,0.005483410469996495,7.283964135693438e-21,1.1224187088304905e-20,3.9933336630724827e-23,1.505563301098798e-08,1.6136584151989462e-18
2001-01-31,0.12694908063096239,1.234357277326392e-15,1.7402201157371266e-17,2.391742481453492e-16,1.6219990918783858e-07,4.660624363466086e-17
2001-02-28,,,,,,
2001-03-31,0.1370907875027529,6.233891902303224e-21,2.8972238374726335e-21,7.630333645103308e-22,6.533581901966531e-08,7.361155089278369e-22
2001-04-30,,,,,,
2001-05-31,0.2633633946467799,6.856196292673653e-22,2.4385617531314505e-19,6.302550256982609e-21,3.456747091830552e-08,1.422986339578004e-18
2001-06-30,0.5580799574572026,1.6500023413942218e-17,1.7926774780843778e-18,2.4679105855105223e-18,1.7510430487512836e-06,1.1132248103827576e-15
2001-07-31,,,,,,
2001-08-31,0.5977008594973242,1.1985447750893398e-14,5.4803071816190164e-14,1.4384441472332572e-13,1.5944315776370883e-07,3.6319222514870356e-15
2001-09-30,,,,,,
2001-10-31,0.7249982226101397,3.334269826938426e-14,1.0972301785156154e-12,3.8188632126179845e-08,0.00013734347743308686,9.025586789812602e-12
2001-11-30,0.884494124735053,2.5988834504357017e-19,1.242425650977426e-17,1.3092139553985897e-20,0.0007312474871460535,1.6123556861310099e-18
2001-12-31,0.8994840534998546,1.0052863209138299e-17,2.5928773872529628e-17,6.63879456270351e-17,3.1192195418038604e-08,9.055146414585767e-16
