filename,adjective,frequency
FOMCminutes20000202.txt,economic,14
FOMCminutes20000202.txt,fourth,11
FOMCminutes20000202.txt,recent,10
FOMCminutes20000202.txt,high,8
FOMCminutes20000202.txt,domestic,8
FOMCminutes20000202.txt,new,8
FOMCminutes20000202.txt,higher,8
FOMCminutes20000202.txt,monetary,8
FOMCminutes20000202.txt,federal,7
FOMCminutes20000202.txt,strong,6
FOMCminutes20000202.txt,robust,6
FOMCminutes20000202.txt,large,6
FOMCminutes20000202.txt,good,6
FOMCminutes20000202.txt,low,5
FOMCminutes20000202.txt,little,5
FOMCminutes20000202.txt,total,5
FOMCminutes20000202.txt,nominal,5
FOMCminutes20000202.txt,december,5
FOMCminutes20000202.txt,foreign,5
FOMCminutes20000202.txt,potential,5
FOMCminutes20000321.txt,february,14
FOMCminutes20000321.txt,january,13
FOMCminutes20000321.txt,economic,12
FOMCminutes20000321.txt,aggregate,9
FOMCminutes20000321.txt,recent,8
FOMCminutes20000321.txt,little,8
FOMCminutes20000321.txt,higher,7
FOMCminutes20000321.txt,federal,7
FOMCminutes20000321.txt,high,6
FOMCminutes20000321.txt,strong,6
FOMCminutes20000321.txt,low,6
FOMCminutes20000321.txt,large,6
FOMCminutes20000321.txt,good,6
FOMCminutes20000321.txt,potential,6
FOMCminutes20000321.txt,domestic,5
FOMCminutes20000321.txt,industrial,5
FOMCminutes20000321.txt,robust,5
FOMCminutes20000321.txt,new,5
FOMCminutes20000321.txt,foreign,5
FOMCminutes20000321.txt,financial,5
FOMCminutes20000516.txt,economic,12
FOMCminutes20000516.txt,higher,12
FOMCminutes20000516.txt,recent,12
FOMCminutes20000516.txt,first,9
FOMCminutes20000516.txt,foreign,9
FOMCminutes20000516.txt,robust,7
FOMCminutes20000516.txt,strong,7
FOMCminutes20000516.txt,aggregate,7
FOMCminutes20000516.txt,federal,7
FOMCminutes20000516.txt,domestic,6
FOMCminutes20000516.txt,little,6
FOMCminutes20000516.txt,anecdotal,6
FOMCminutes20000516.txt,rapid,5
FOMCminutes20000516.txt,early,5
FOMCminutes20000516.txt,industrial,5
FOMCminutes20000516.txt,large,5
FOMCminutes20000516.txt,sizable,5
FOMCminutes20000516.txt,april,5
FOMCminutes20000516.txt,february,5
FOMCminutes20000516.txt,good,5
FOMCminutes20000628.txt,economic,15
FOMCminutes20000628.txt,large,9
FOMCminutes20000628.txt,federal,9
FOMCminutes20000628.txt,recent,8
FOMCminutes20000628.txt,higher,8
FOMCminutes20000628.txt,good,7
FOMCminutes20000628.txt,many,7
FOMCminutes20000628.txt,rapid,6
FOMCminutes20000628.txt,little,6
FOMCminutes20000628.txt,previous,6
FOMCminutes20000628.txt,several,6
FOMCminutes20000628.txt,new,6
FOMCminutes20000628.txt,available,6
FOMCminutes20000628.txt,aggregate,6
FOMCminutes20000628.txt,monetary,6
FOMCminutes20000628.txt,average,5
FOMCminutes20000628.txt,second,5
FOMCminutes20000628.txt,nominal,5
FOMCminutes20000628.txt,robust,5
FOMCminutes20000628.txt,unchanged,5
FOMCminutes20000822.txt,recent,19
FOMCminutes20000822.txt,economic,13
FOMCminutes20000822.txt,higher,10
FOMCminutes20000822.txt,little,9
FOMCminutes20000822.txt,second,9
FOMCminutes20000822.txt,potential,8
FOMCminutes20000822.txt,high,7
FOMCminutes20000822.txt,available,7
FOMCminutes20000822.txt,federal,7
FOMCminutes20000822.txt,many,7
FOMCminutes20000822.txt,industrial,6
FOMCminutes20000822.txt,last,6
FOMCminutes20000822.txt,major,6
